Secondary 5 muon ke=1662.62 (x,y,z)= 125.199 77.0988 0 (m)
Secondary 6 muon ke=6855.81 (x,y,z)= -94.8961 -91.1609 0 (m)
Secondary 0 muon ke=3623.23 (x,y,z)= -15.4307 -2.76939 0 (m)
Secondary 0 muon ke=2247.02 (x,y,z)= 4.75602 3.38277 0 (m)
Secondary 0 muon ke=1545.37 (x,y,z)= -128.129 102.074 0 (m)
Secondary 1 muon ke=428.193 (x,y,z)= 63.7142 -84.1481 0 (m)
Secondary 0 muon ke=642.591 (x,y,z)= -79.946 118.736 0 (m)
Secondary 0 muon ke=9781.64 (x,y,z)= 109.215 -77.1171 0 (m)
Secondary 0 muon ke=1527.49 (x,y,z)= 115.916 -91.2066 0 (m)
Secondary 0 muon ke=5989.37 (x,y,z)= 147.528 -83.2509 0 (m)
Secondary 1 muon ke=6449.16 (x,y,z)= -75.5699 -128.385 0 (m)
Secondary 3 muon ke=1857.51 (x,y,z)= -141.751 57.4888 0 (m)
Secondary 0 muon ke=2250.05 (x,y,z)= -113.499 146.265 0 (m)
Secondary 0 muon ke=308.457 (x,y,z)= -84.8348 -58.3494 0 (m)
Secondary 0 muon ke=2310.06 (x,y,z)= -53.5521 -111.201 0 (m)
Secondary 0 muon ke=16486.4 (x,y,z)= 47.5648 -53.6712 0 (m)
Secondary 1 muon ke=2364.95 (x,y,z)= -128.019 -44.6352 0 (m)
Secondary 2 muon ke=1488.96 (x,y,z)= 52.3162 72.7044 0 (m)
Secondary 3 muon ke=8943.03 (x,y,z)= -61.4254 -19.3857 0 (m)
Secondary 0 muon ke=10540.4 (x,y,z)= -68.7403 -122.489 0 (m)
Secondary 0 muon ke=5562.83 (x,y,z)= 17.335 72.9516 0 (m)
Secondary 0 muon ke=2371.54 (x,y,z)= 111.036 148.938 0 (m)
Secondary 0 muon ke=6224.32 (x,y,z)= -62.8719 61.3064 0 (m)
Secondary 0 muon ke=1226.87 (x,y,z)= 118.644 -55.4564 0 (m)
Secondary 0 muon ke=19787.7 (x,y,z)= -142.246 -10.7892 0 (m)
Secondary 0 muon ke=57.4735 (x,y,z)= 73.1896 -106.715 0 (m)
Secondary 0 muon ke=1171.19 (x,y,z)= -43.0056 -20.5758 0 (m)
Secondary 0 muon ke=6608.43 (x,y,z)= 71.6699 31.809 0 (m)
Secondary 0 muon ke=2433.09 (x,y,z)= 148.004 -123.615 0 (m)
Secondary 0 muon ke=3823.7 (x,y,z)= 13.5265 -27.8083 0 (m)
Secondary 1 muon ke=548.32 (x,y,z)= -4.82926 79.6988 0 (m)
Secondary 0 muon ke=2181.95 (x,y,z)= 30.0696 106.047 0 (m)
Secondary 0 muon ke=5385.44 (x,y,z)= -123.332 146.237 0 (m)
Secondary 0 muon ke=256.659 (x,y,z)= 62.8811 -100.792 0 (m)
Secondary 0 muon ke=697.907 (x,y,z)= -95.3447 40.7077 0 (m)
Secondary 0 muon ke=108.698 (x,y,z)= 23.2216 32.2393 0 (m)
Secondary 0 muon ke=300.009 (x,y,z)= 125.996 -40.1492 0 (m)
Secondary 0 muon ke=1630.42 (x,y,z)= 53.8085 -51.2542 0 (m)
Secondary 0 muon ke=14360.4 (x,y,z)= -11.7779 -70.9192 0 (m)
Secondary 0 muon ke=2013.93 (x,y,z)= -59.9332 58.2303 0 (m)
Secondary 0 muon ke=3171.51 (x,y,z)= -141.724 108.18 0 (m)
Secondary 0 muon ke=1781.58 (x,y,z)= -6.61448 -104.161 0 (m)
Secondary 0 muon ke=5980.87 (x,y,z)= -29.0534 41.6873 0 (m)
Secondary 0 muon ke=2459.7 (x,y,z)= 142.044 10.4596 0 (m)
Secondary 0 muon ke=2037.21 (x,y,z)= -143.344 -124.421 0 (m)
Secondary 0 muon ke=535.578 (x,y,z)= -4.76517 -54.1838 0 (m)
Secondary 0 muon ke=1246.96 (x,y,z)= 125.282 -22.2329 0 (m)
Secondary 0 muon ke=453.845 (x,y,z)= 62.167 -85.4115 0 (m)
Secondary 0 muon ke=655.672 (x,y,z)= -105.25 80.4312 0 (m)
Secondary 1 muon ke=2853.97 (x,y,z)= 83.3333 -15.1286 0 (m)
Secondary 2 muon ke=2268.47 (x,y,z)= 126.032 -145.679 0 (m)
Secondary 0 muon ke=1582.13 (x,y,z)= 54.2845 -83.5622 0 (m)
Secondary 0 muon ke=61659.9 (x,y,z)= -69.2987 -29.6942 0 (m)
Secondary 0 muon ke=980.008 (x,y,z)= -124.284 -9.24197 0 (m)
Secondary 0 muon ke=3837.26 (x,y,z)= 96.1595 125.858 0 (m)
Secondary 0 muon ke=2464.02 (x,y,z)= -97.3588 61.5719 0 (m)
Secondary 0 muon ke=1983.73 (x,y,z)= 87.4256 37.8696 0 (m)
Secondary 0 muon ke=2616.96 (x,y,z)= -8.45464 18.7265 0 (m)
Secondary 0 muon ke=1135.61 (x,y,z)= -93.7883 -71.0656 0 (m)
Secondary 0 muon ke=11406 (x,y,z)= -111.805 -69.317 0 (m)
Secondary 0 muon ke=1309.52 (x,y,z)= -23.716 -143.839 0 (m)
Secondary 0 muon ke=6911.82 (x,y,z)= 109.004 131.443 0 (m)
Secondary 0 muon ke=1491.24 (x,y,z)= -55.4655 -3.9046 0 (m)
Secondary 0 muon ke=2065.11 (x,y,z)= -53.1585 15.8885 0 (m)
Secondary 0 muon ke=11574.9 (x,y,z)= 117.912 -86.0524 0 (m)
Secondary 0 muon ke=9792.78 (x,y,z)= 100.81 61.3247 0 (m)
Secondary 0 muon ke=5901.72 (x,y,z)= 14.5061 -9.37929 0 (m)
Secondary 0 muon ke=695.801 (x,y,z)= 64.3001 -84.5418 0 (m)
Secondary 0 muon ke=6797 (x,y,z)= 142.584 -50.7232 0 (m)
Secondary 0 muon ke=9859.48 (x,y,z)= -26.2703 -97.8165 0 (m)
Secondary 0 muon ke=698.947 (x,y,z)= -44.1408 66.9184 0 (m)
Secondary 0 muon ke=4725.51 (x,y,z)= 55.3007 0.819372 0 (m)
Secondary 0 muon ke=5745.98 (x,y,z)= -135.883 49.5331 0 (m)
Secondary 0 muon ke=982.241 (x,y,z)= -53.4697 -118.443 0 (m)
Secondary 0 muon ke=604.068 (x,y,z)= -54.6507 36.3499 0 (m)
Secondary 1 muon ke=2645.4 (x,y,z)= 85.7777 -132.825 0 (m)
Secondary 2 muon ke=9617.39 (x,y,z)= -62.5515 79.9918 0 (m)
